2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 1, 'Pending Time': 3, 'Current Deadline': 5, 'Current Time': 0}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 2, 'Pending Time': 2, 'Current Deadline': 5, 'Current Time': 1}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 3, 'Pending Time': 1, 'Current Deadline': 5, 'Current Time': 2}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': True, 'Running Time': 4, 'Pending Time': 0, 'Current Deadline': 5, 'Current Time': 3}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 1, 'Pending Time': 3, 'Current Deadline': 15, 'Current Time': 10}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 2, 'Pending Time': 2, 'Current Deadline': 15, 'Current Time': 11}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 3, 'Pending Time': 1, 'Current Deadline': 15, 'Current Time': 12}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': True, 'Running Time': 4, 'Pending Time': 0, 'Current Deadline': 15, 'Current Time': 13}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 1, 'Pending Time': 3, 'Current Deadline': 25, 'Current Time': 20}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 2, 'Pending Time': 2, 'Current Deadline': 25, 'Current Time': 21}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 3, 'Pending Time': 1, 'Current Deadline': 25, 'Current Time': 22}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': True, 'Running Time': 4, 'Pending Time': 0, 'Current Deadline': 25, 'Current Time': 23}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 1, 'Pending Time': 3, 'Current Deadline': 35, 'Current Time': 30}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 2, 'Pending Time': 2, 'Current Deadline': 35, 'Current Time': 31}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 3, 'Pending Time': 1, 'Current Deadline': 35, 'Current Time': 32}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': True, 'Running Time': 4, 'Pending Time': 0, 'Current Deadline': 35, 'Current Time': 33}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 1, 'Pending Time': 3, 'Current Deadline': 45, 'Current Time': 40}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 2, 'Pending Time': 2, 'Current Deadline': 45, 'Current Time': 41}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': False, 'Running Time': 3, 'Pending Time': 1, 'Current Deadline': 45, 'Current Time': 42}
2024-05-09 14:53:43,428 - INFO - {'Task': 'Task1', 'Finished': True, 'Running Time': 4, 'Pending Time': 0, 'Current Deadline': 45, 'Current Time': 43}
