2024-05-09 19:08:37,558 - INFO - Task Created
2024-05-09 19:08:37,558 - INFO - Task Task2 created
2024-05-09 19:08:37,558 - INFO - 
Period 15
Execution Time 10
Deadline 16
Aperiodic False
Started Time 0 
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 1, 'Pending Time': 9, 'Current Deadline': 20, 'Current Time': 4}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 2, 'Pending Time': 8, 'Current Deadline': 20, 'Current Time': 5}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 3, 'Pending Time': 7, 'Current Deadline': 20, 'Current Time': 6}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 4, 'Pending Time': 6, 'Current Deadline': 20, 'Current Time': 7}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 5, 'Pending Time': 5, 'Current Deadline': 20, 'Current Time': 8}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 6, 'Pending Time': 4, 'Current Deadline': 20, 'Current Time': 9}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 7, 'Pending Time': 3, 'Current Deadline': 20, 'Current Time': 14}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 1, 'Pending Time': 9, 'Current Deadline': 31, 'Current Time': 15}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 2, 'Pending Time': 8, 'Current Deadline': 31, 'Current Time': 16}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 3, 'Pending Time': 7, 'Current Deadline': 31, 'Current Time': 17}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 4, 'Pending Time': 6, 'Current Deadline': 31, 'Current Time': 18}
2024-05-09 19:08:37,558 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 5, 'Pending Time': 5, 'Current Deadline': 31, 'Current Time': 19}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 6, 'Pending Time': 4, 'Current Deadline': 31, 'Current Time': 24}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 7, 'Pending Time': 3, 'Current Deadline': 31, 'Current Time': 25}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 8, 'Pending Time': 2, 'Current Deadline': 31, 'Current Time': 26}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 9, 'Pending Time': 1, 'Current Deadline': 31, 'Current Time': 27}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': True, 'Running Time': 10, 'Pending Time': 0, 'Current Deadline': 31, 'Current Time': 28}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 1, 'Pending Time': 9, 'Current Deadline': 51, 'Current Time': 35}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 2, 'Pending Time': 8, 'Current Deadline': 51, 'Current Time': 36}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 3, 'Pending Time': 7, 'Current Deadline': 51, 'Current Time': 37}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 4, 'Pending Time': 6, 'Current Deadline': 51, 'Current Time': 38}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 5, 'Pending Time': 5, 'Current Deadline': 51, 'Current Time': 39}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 6, 'Pending Time': 4, 'Current Deadline': 51, 'Current Time': 44}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 1, 'Pending Time': 9, 'Current Deadline': 61, 'Current Time': 45}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 2, 'Pending Time': 8, 'Current Deadline': 61, 'Current Time': 46}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 3, 'Pending Time': 7, 'Current Deadline': 61, 'Current Time': 47}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 4, 'Pending Time': 6, 'Current Deadline': 61, 'Current Time': 48}
2024-05-09 19:08:37,559 - INFO - {'Task': 'Task2', 'Finished': False, 'Running Time': 5, 'Pending Time': 5, 'Current Deadline': 61, 'Current Time': 49}
